Algorithm,Weight,precision_0,recall_0,f-score_0,Precision,Recall,F1-score,accuracy,MCC
ALBERT,1,0.942,0.969,0.955,0.757,0.594,0.65,0.92,0.621
BERT,1,0.957,0.974,0.965,0.806,0.704,0.748,0.939,0.718
CNN,1,0.952,0.983,0.968,0.858,0.667,0.748,0.942,0.725
GRU,1,0.958,0.977,0.967,0.823,0.707,0.76,0.942,0.731
LSTM,1,0.953,0.979,0.966,0.834,0.671,0.74,0.939,0.714
RF,1,0.939,0.98,0.959,0.81,0.572,0.67,0.927,0.643
SBERT,1,0.959,0.971,0.965,0.787,0.719,0.75,0.938,0.717
LSTM,2,0.9592940302,0.9727676054,0.9658820441,0.8056839744,0.7207032404,0.7571389278,0.9402216167,0.727064887
ALBERT,2,0.9452926653,0.9689110525,0.9567493976,0.7654174758,0.6195360977,0.6738002787,0.9237730988,0.6424526892
CNN,2,0.9586675674,0.9754820283,0.9669381015,0.8189526136,0.7158376834,0.7611236954,0.9419457518,0.7321867278
BERT,2,0.9550968667,0.9737066272,0.9642237409,0.7988745961,0.6898552152,0.7362000839,0.9370400462,0.7057911652
SBERT,2,0.9584837633,0.9678678643,0.9631010818,0.7753133654,0.7172067369,0.7429951245,0.935494922,0.7082587396
GRU,2,0.960390547,0.9712055442,0.9657555349,0.7916257435,0.7299517384,0.7590393033,0.9400388903,0.725964428
RF,2,0.9408115171,0.9778826457,0.9589774336,0.7974776272,0.585078302,0.6742285338,0.9271378086,0.6444028747
ALBERT,3,0.9486297947,0.9595239909,0.9538175728,0.7207326209,0.646907318,0.6695553024,0.9191421848,0.6323490675
BERT,3,0.9629681636,0.9621240158,0.9624362752,0.7549144027,0.7496158771,0.7482217984,0.9346774007,0.7133963739
CNN,3,0.9557846404,0.9793423908,0.9673347861,0.8412140051,0.6933467941,0.7551005963,0.9424008752,0.7302529787
GRU,3,0.964092556,0.9655718487,0.9648125004,0.7668763999,0.757362356,0.7613642027,0.9386767402,0.7266864781
LSTM,3,0.964354895,0.9647373199,0.9645210838,0.7642927579,0.759475032,0.7609172843,0.9382217819,0.7260900942
SBERT,3,0.9599992975,0.9601468126,0.9600019426,0.7375411308,0.729843396,0.7313356483,0.9304083065,0.6929619773
RF,3,0.9418387585,0.9777777173,0.9594636158,0.7984790042,0.5928100069,0.6799430463,0.928046239,0.649741243
ALBERT,5,0.9436351352,0.9581696095,0.9506667796,0.7002802452,0.6123313306,0.6448930347,0.9135101973,0.6029372289
LSTM,5,0.9690211871,0.946374529,0.9574104768,0.699231917,0.7953018812,0.7396854867,0.9268667327,0.7024995427
CNN,5,0.9571474306,0.9778816661,0.9673415051,0.830036491,0.7039988181,0.7585064726,0.9424921146,0.7313828089
BERT,5,0.9611714652,0.9624396716,0.9616547772,0.7540798892,0.7362799173,0.7394979109,0.9332241764,0.7049852376
GRU,5,0.9660620816,0.9544053587,0.9601451356,0.719133729,0.7735053679,0.7437474781,0.9310454958,0.7057015319
SBERT,5,0.962557804,0.9576435527,0.9600306044,0.7317587199,0.7488968778,0.7382284733,0.9306815292,0.6997290668
RF,5,0.9443309125,0.9621290227,0.9531332902,0.7076719344,0.6174135723,0.6588878472,0.9175979688,0.6144983974
ALBERT,8,0.9490298832,0.9481574404,0.948098696,0.6812684296,0.6539298729,0.6553092852,0.9101491206,0.6121592216
GRU,8,0.967755941,0.9439739116,0.9556353962,0.681021631,0.7875898749,0.7285739287,0.923778053,0.6883350548
CNN,8,0.9598504634,0.9730819552,0.9663727045,0.8042994604,0.7250369349,0.760133005,0.9410382297,0.7294613311
SBERT,8,0.9637711345,0.9545128994,0.9590114525,0.7227023698,0.758041958,0.7370850252,0.9291356618,0.6984602899
LSTM,8,0.973804493,0.918724489,0.9452609702,0.6108494168,0.8325470304,0.7017672744,0.9076078771,0.6618994563
BERT,8,0.9640058257,0.9597288407,0.9617634528,0.7414831728,0.7573574313,0.7461608262,0.9335877302,0.7101853521
RF,8,0.9440354693,0.9549300006,0.9494309826,0.6713748375,0.6181325717,0.6428640227,0.9114201965,0.5935829963
LSTM,10,0.881465512,0.7935901176,0.8349598121,0.4901295993,0.8867428346,0.6144023971,0.8056244736,0.5579303576
SBERT,10,0.9663540839,0.9529524709,0.9595097766,0.7200427156,0.7763271939,0.7443470823,0.9301379737,0.7065897793
CNN,10,0.9507448559,0.9767313725,0.9633964905,0.8196062928,0.6560622476,0.7181212476,0.9353150029,0.6938894248
BERT,10,0.9648159539,0.9505439077,0.9574868827,0.703905525,0.765064513,0.7293755759,0.9265897944,0.6905042701
ALBERT,10,0.9515124368,0.9537854759,0.9525111619,0.6900078162,0.6708066581,0.6752501243,0.9172328462,0.6312470328
GRU,10,0.9705175713,0.9355269603,0.9526100698,0.6551944307,0.8079976362,0.7216851152,0.9190532574,0.6814703138
RF,10,0.9450689951,0.9560772464,0.9505238873,0.6792974379,0.6251551266,0.6504353421,0.913328214,0.6021805706
