Threshold,precision_0,recall_0,f-score_0,Precision,Recall,F1.Score,accuracy,MCC,Algorithm
0.01,0.973893776,0.963483078,0.96824242,0.79777966,0.823495519,0.80053787,0.945396169,0.776089324,BERT
0.02,0.97292998,0.96932663,0.970869727,0.817808535,0.81645819,0.809722008,0.949576666,0.785770047,BERT
0.03,0.972346856,0.971413551,0.971673992,0.824973425,0.812232838,0.812114086,0.950848898,0.788263695,BERT
0.04,0.972071921,0.973082826,0.972395384,0.832440413,0.810120162,0.815093591,0.952029973,0.791710714,BERT
0.05,0.971690196,0.974126123,0.972740249,0.836552041,0.80730326,0.815974144,0.95257518,0.792754263,BERT
0.06,0.971602832,0.974856485,0.973073109,0.839687725,0.806599035,0.817360493,0.953120386,0.794336899,BERT
0.07,0.971524159,0.976108224,0.973674984,0.845331369,0.805894809,0.82014295,0.954119726,0.797487696,BERT
0.08,0.971332655,0.976838804,0.97394839,0.849097546,0.804486359,0.82137504,0.954573941,0.798949425,BERT
0.09,0.971237057,0.977047355,0.97400497,0.850115715,0.803787058,0.82152773,0.954664768,0.799162186,BERT
0.1,0.971139116,0.977256123,0.974065098,0.850733662,0.803087757,0.821587551,0.954755759,0.799207901,BERT
0.11,0.971147148,0.977569058,0.974226738,0.852458568,0.803087757,0.822428281,0.955028321,0.800218799,BERT
0.12,0.971051291,0.977777717,0.974285099,0.853295642,0.802383532,0.822524179,0.955119148,0.800349301,BERT
0.13,0.971052716,0.977882101,0.974340251,0.853685962,0.802383532,0.822771092,0.955210057,0.800613655,BERT
0.14,0.97105736,0.978090652,0.974447705,0.854761566,0.802383532,0.823338748,0.95539171,0.801268339,BERT
0.15,0.970961287,0.978299311,0.9745034,0.855909831,0.801679307,0.823526891,0.955482537,0.801533912,BERT
0.16,0.970865074,0.978403587,0.97450521,0.856650272,0.800975081,0.823425448,0.955482454,0.801511279,BERT
0.17,0.970667393,0.978612355,0.974514144,0.857233305,0.799571555,0.82307198,0.955482619,0.801122276,BERT
0.18,0.970468048,0.978612355,0.974413028,0.857061555,0.798163105,0.822199184,0.955300883,0.800201091,BERT
0.19,0.970360887,0.978612355,0.974361566,0.856906372,0.797458879,0.821827674,0.955209974,0.799737032,BERT
0.2,0.970263313,0.978820906,0.974417828,0.857896301,0.796754654,0.821998713,0.955300801,0.799945168,BERT
0.21,0.970277831,0.979446993,0.974742466,0.861073929,0.796754654,0.823641026,0.955846008,0.801865864,BERT
0.22,0.970277831,0.979446993,0.974742466,0.861073929,0.796754654,0.823641026,0.955846008,0.801865864,BERT
0.23,0.970277831,0.979446993,0.974742466,0.861073929,0.796754654,0.823641026,0.955846008,0.801865864,BERT
