Strategy,Algorithm,ratio-parameter,Ratio,precision_0,recall_0,f-score_0,precision_1,recall_1,f-score_1,accuracy,MCC
random,BERT,1.515,0.66,0.971,0.979,0.975,0.855,0.804,0.827,0.956,0.803
random,BERT,1,1,0.974,0.976,0.975,0.841,0.824,0.831,0.957,0.803
random,BERT,2,0.5,0.97,0.98,0.975,0.86,0.795,0.824,0.956,0.801
random,BERT,1.333,0.75,0.971,0.978,0.974,0.846,0.804,0.823,0.955,0.799
mixed,BERT,2,0.5,0.967,0.983,0.975,0.872,0.774,0.818,0.956,0.796
mixed,BERT,1.515,0.66,0.972,0.975,0.974,0.832,0.814,0.821,0.954,0.796
mixed,BERT,1.333,0.75,0.969,0.980,0.974,0.857,0.785,0.818,0.955,0.794
random,BERT,1.205,0.83,0.972,0.974,0.973,0.822,0.810,0.815,0.953,0.789
random,BERT,3,0.33,0.97,0.974,0.972,0.829,0.797,0.81,0.952,0.784
mixed,BERT,1.205,0.83,0.971,0.973,0.972,0.827,0.800,0.809,0.951,0.784
mixed,BERT,1,1,0.973,0.969,0.971,0.809,0.817,0.807,0.949,0.782
random,SBERT,1.515,0.66,0.972,0.971,0.971,0.810,0.811,0.808,0.950,0.781
random,SBERT,1.333,0.75,0.973,0.969,0.971,0.807,0.814,0.806,0.949,0.780
generate,BERT,1.333,0.75,0.973,0.967,0.970,0.792,0.820,0.804,0.948,0.775
generate,BERT,2,0.5,0.97,0.972,0.971,0.811,0.794,0.802,0.949,0.773
mixed,SBERT,2,0.5,0.973,0.967,0.97,0.79,0.817,0.802,0.948,0.773
generate,BERT,1.515,0.66,0.970,0.971,0.970,0.808,0.800,0.801,0.949,0.773
mixed,SBERT,1.515,0.66,0.971,0.969,0.970,0.800,0.802,0.799,0.948,0.770
generate,BERT,1,1,0.97,0.971,0.97,0.804,0.798,0.8,0.948,0.771
random,CNN,1.515,0.66,0.958,0.987,0.972,0.895,0.707,0.789,0.951,0.766
random,SBERT,1,1,0.971,0.968,0.97,0.792,0.807,0.797,0.947,0.768
mixed,SBERT,1.333,0.75,0.973,0.965,0.969,0.787,0.816,0.796,0.946,0.768
