Strategy,Algorithm,Raio-parameter,Ratio, precision_0,recall_0,f-score_0,Precision,Recall,F1.Score,accuracy,MCC
generate,ALBERT,1.333,0.75,0.964122135,0.932286589,0.947772937,0.634361707,0.765094061,0.690003743,0.910692098,0.644896819
generate,ALBERT,1.515,0.66,0.965105519,0.923312819,0.943418717,0.611604153,0.772791293,0.676546157,0.903881348,0.631666636
mixed,ALBERT,1.333,0.75,0.960999521,0.959314461,0.960075366,0.735456217,0.737048163,0.733490207,0.930594501,0.695462381
mixed,ALBERT,1.515,0.66,0.962627849,0.959729058,0.961109234,0.738131205,0.748236974,0.740962038,0.932405747,0.703608816
random,ALBERT,1.333,0.75,0.961107811,0.97245761,0.966694568,0.803499476,0.734201714,0.764721148,0.941672859,0.734122436
random,ALBERT,1.515,0.66,0.962401269,0.973186666,0.967745442,0.804559784,0.743243376,0.771834077,0.943489142,0.740954472
generate,BERT,1.333,0.75,0.973181263,0.967241233,0.970153825,0.791551362,0.819979316,0.804031281,0.948214846,0.775396024
generate,BERT,1.515,0.66,0.970347793,0.970678399,0.970447967,0.807883387,0.799517384,0.80138318,0.948577822,0.773409922
mixed,BERT,1.333,0.75,0.968504133,0.980175831,0.974277068,0.857128946,0.784827145,0.818074812,0.954936999,0.794260372
mixed,BERT,1.515,0.66,0.972490835,0.975064492,0.973732912,0.832482991,0.81362159,0.821267334,0.954211791,0.796196831
random,BERT,1.333,0.75,0.971171439,0.977674313,0.974358686,0.846256698,0.803841229,0.822593037,0.955210883,0.79860699
random,BERT,1.515,0.66,0.971228037,0.980907173,0.976022479,0.86340584,0.803787058,0.831551445,0.958026753,0.808922394
generate,CNN,1.333,0.75,0.960394132,0.975797575,0.968012977,0.819540967,0.728523589,0.770279159,0.943854925,0.740765471
generate,CNN,1.515,0.66,0.960182667,0.976631451,0.968297525,0.824704516,0.726519255,0.770614525,0.944308975,0.742201696
mixed,CNN,1.333,0.75,0.959889375,0.985810833,0.972671674,0.883429062,0.722215109,0.794383523,0.951757823,0.772584011
mixed,CNN,1.515,0.66,0.961050759,0.982784564,0.971732443,0.869133868,0.730596868,0.790592999,0.950214351,0.76834611
random,CNN,1.333,0.75,0.956974257,0.986541195,0.971494236,0.889193184,0.700374274,0.781185453,0.949576418,0.76146669
random,CNN,1.515,0.66,0.956595115,0.987376268,0.971719851,0.892861327,0.69766079,0.781956691,0.949941541,0.762317335
generate,DT,1.333,0.75,0.952254982,0.931974961,0.941994778,0.599506778,0.68496996,0.63915412,0.900063331,0.583368844
generate,DT,1.515,0.66,0.951207458,0.933226917,0.942110733,0.601817471,0.677193933,0.636837643,0.900155313,0.58087612
mixed,DT,1.333,0.75,0.95677367,0.944287608,0.950482249,0.655223464,0.7124052,0.682413214,0.914327141,0.633883619
mixed,DT,1.515,0.66,0.95663824,0.941055401,0.94876877,0.642663595,0.7124052,0.675392999,0.911511849,0.62568468
random,DT,1.333,0.75,0.957181075,0.944392645,0.950734621,0.65676468,0.715217177,0.684504058,0.914782512,0.636290055
random,DT,1.515,0.66,0.955051913,0.943766667,0.949359106,0.649455072,0.700408746,0.673501005,0.912327553,0.623871781
generate,GRU,1.333,0.75,0.95911016,0.975794963,0.967368007,0.8160352,0.719378509,0.764090163,0.942673437,0.733862784
generate,GRU,1.515,0.66,0.958822439,0.968910182,0.963823744,0.776222774,0.71936866,0.746033802,0.936677648,0.711034646
mixed,GRU,1.333,0.75,0.962005032,0.974229854,0.96806718,0.811050101,0.740470797,0.77363694,0.944036,0.743118421
mixed,GRU,1.515,0.66,0.960817997,0.976318625,0.968480379,0.823477326,0.731335566,0.773487135,0.944672777,0.74455741
random,GRU,1.333,0.75,0.958645095,0.981114418,0.96973088,0.850704747,0.714458781,0.775737342,0.946669804,0.749971029
random,GRU,1.515,0.66,0.958562919,0.981011449,0.969637003,0.849106891,0.713725007,0.774467263,0.946488564,0.748670081
generate,LR,1.333,0.75,0.955336237,0.957016159,0.956165962,0.707322916,0.698271447,0.702454603,0.923594583,0.658856785
generate,LR,1.515,0.66,0.955185219,0.960459638,0.957810529,0.723431879,0.696173545,0.709366735,0.926319957,0.667473969
mixed,LR,1.333,0.75,0.955492289,0.969640109,0.962507387,0.773427817,0.695503792,0.732100697,0.934224176,0.696195002
mixed,LR,1.515,0.66,0.95360513,0.973291812,0.96333984,0.791680768,0.680734758,0.731641327,0.935496243,0.698024947
random,LR,1.333,0.75,0.960449263,0.949712971,0.955041825,0.68516277,0.736304541,0.709551722,0.922140451,0.665421508
random,LR,1.515,0.66,0.959889795,0.955659601,0.957758681,0.710043733,0.730685512,0.71985578,0.926592189,0.677967832
generate,LSTM,1.333,0.75,0.967467365,0.959625001,0.963488919,0.743924248,0.781970846,0.761112521,0.936677979,0.72587265
generate,LSTM,1.515,0.66,0.965362936,0.952426632,0.958787001,0.710739864,0.769309564,0.737023246,0.928775081,0.697934754
mixed,LSTM,1.333,0.75,0.969389107,0.966091701,0.967677807,0.78189872,0.793898355,0.785730261,0.943854182,0.754891215
mixed,LSTM,1.515,0.66,0.96620676,0.967756949,0.966882494,0.786730567,0.770693391,0.775058919,0.94230848,0.744416037
random,LSTM,1.333,0.75,0.972956063,0.944493111,0.958436888,0.692384964,0.822746971,0.750279284,0.928770704,0.713945392
random,LSTM,1.515,0.66,0.971736426,0.943450685,0.957210325,0.692817719,0.814276569,0.744499388,0.926775246,0.708278202
generate,RF,1.333,0.75,0.958149534,0.962127172,0.960122367,0.73812911,0.716576381,0.726747526,0.930408224,0.687279614
generate,RF,1.515,0.66,0.957816453,0.961501303,0.959645955,0.734326035,0.714463705,0.723939625,0.929591116,0.683897066
mixed,RF,1.333,0.75,0.957984411,0.972770435,0.96531592,0.795677483,0.712360879,0.751491617,0.93913046,0.718497927
mixed,RF,1.515,0.66,0.956022791,0.975170182,0.965496203,0.807336416,0.697601694,0.748216744,0.939312196,0.716543842
random,RF,1.333,0.75,0.955037222,0.981533913,0.968101494,0.847058152,0.688461538,0.759411138,0.943672777,0.733015735
random,RF,1.515,0.66,0.956893357,0.979551377,0.968087945,0.836168206,0.702526347,0.763442959,0.943763521,0.735441374
generate,SBERT,1.333,0.75,0.969620138,0.959833116,0.964618913,0.752977792,0.796734955,0.771633405,0.938766246,0.738504442
generate,SBERT,1.515,0.66,0.974526503,0.945125511,0.959515291,0.699056254,0.833315276,0.758278658,0.930681199,0.723462744
mixed,SBERT,1.333,0.75,0.97260094,0.964949136,0.968611653,0.786776744,0.815680095,0.796479169,0.94567385,0.768421194
mixed,SBERT,1.515,0.66,0.9707374,0.969123195,0.96984979,0.800467126,0.802398306,0.798645007,0.947580216,0.770401171
random,SBERT,1.333,0.75,0.972516299,0.969224314,0.970745875,0.806506186,0.814335664,0.806325436,0.949215176,0.779888962
random,SBERT,1.515,0.66,0.972150365,0.970891956,0.971446705,0.809711648,0.81149414,0.807758477,0.950304764,0.781123099
generate,SVM,1.333,0.75,0.954535127,0.950443769,0.952480712,0.67540507,0.694819265,0.684842956,0.917416151,0.637511779
generate,SVM,1.515,0.66,0.954077331,0.953364456,0.95371042,0.687693195,0.690593913,0.688806657,0.919414747,0.642750923
mixed,SVM,1.333,0.75,0.957433063,0.954615433,0.956010978,0.700466602,0.713803802,0.706720206,0.923502353,0.663020211
mixed,SVM,1.515,0.66,0.956037316,0.957015724,0.956514665,0.708855573,0.703240422,0.705640249,0.924230121,0.662434959
random,SVM,1.333,0.75,0.958589999,0.936462064,0.947381252,0.629751256,0.727164385,0.674596433,0.909420527,0.62473524
random,SVM,1.515,0.66,0.959272029,0.940217715,0.94961877,0.645869061,0.730685512,0.684932051,0.91314557,0.636940375
generate,ALBERT,1.205,0.83,0.964785622,0.920395506,0.941853344,0.597197022,0.772136314,0.669760304,0.901244241,0.622725548
mixed,ALBERT,1.205,0.83,0.958806386,0.962441195,0.960559861,0.744991856,0.720811583,0.730615483,0.931227892,0.692733524
random,ALBERT,1.205,0.83,0.958671375,0.960143547,0.959251723,0.741968168,0.720131981,0.72595726,0.929136157,0.688710553
generate,BERT,1.205,0.83,0.968760014,0.968804383,0.968734005,0.793803135,0.789067271,0.789690527,0.945580547,0.759610684
mixed,BERT,1.205,0.83,0.970553315,0.973498294,0.971880023,0.82735486,0.799591254,0.808894033,0.951029477,0.783940754
random,BERT,1.205,0.83,0.971908369,0.973708151,0.972790364,0.822020544,0.810100463,0.815332992,0.952575923,0.788610361
generate,CNN,1.205,0.83,0.957702864,0.974855832,0.966179426,0.809894776,0.709553826,0.755295156,0.94058418,0.724403517
mixed,CNN,1.205,0.83,0.960220793,0.981429638,0.970698176,0.853511109,0.725716537,0.783837614,0.948396829,0.758341605
random,CNN,1.205,0.83,0.956450931,0.984768842,0.97039345,0.872602316,0.697581995,0.774767187,0.947670382,0.751915693
generate,DT,1.205,0.83,0.953010352,0.922064781,0.937243025,0.570566384,0.693391116,0.625376104,0.892523986,0.567475568
mixed,DT,1.205,0.83,0.956515144,0.938550291,0.947439852,0.632919965,0.712390426,0.670123108,0.909332095,0.619366145
random,DT,1.205,0.83,0.957483459,0.943975653,0.950666716,0.655665445,0.717324929,0.684713362,0.914691603,0.636640452
generate,GRU,1.205,0.83,0.957597849,0.970058951,0.963769501,0.780219402,0.710248203,0.742827457,0.936495995,0.708207769
mixed,GRU,1.205,0.83,0.95669665,0.971310799,0.963922516,0.785517559,0.703210874,0.740935476,0.936677648,0.707141763
random,GRU,1.205,0.83,0.956456532,0.977464891,0.966819021,0.824401635,0.699738993,0.755593736,0.941583024,0.726676039
generate,LR,1.205,0.83,0.947711039,0.94522565,0.946456491,0.637699577,0.648399488,0.642707372,0.906876641,0.58940566
mixed,LR,1.205,0.83,0.94887603,0.963692934,0.956211981,0.727098369,0.649807939,0.685614854,0.923139047,0.643739189
random,LR,1.205,0.83,0.95618603,0.932810143,0.944329239,0.611940231,0.71169605,0.657508752,0.904241516,0.604938767
generate,LSTM,1.205,0.83,0.96617195,0.945433439,0.955620826,0.682317799,0.776317345,0.724553678,0.923595905,0.683579216
mixed,LSTM,1.205,0.83,0.967330525,0.958894421,0.963039505,0.742472679,0.781281395,0.75953447,0.935950789,0.72419559
